x,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
2019.0,740.0,Pitt County Schools,6486.84,83.0,1248.09,41.0,1923.01,74.0,9657.94,87.0
2019.0,750.0,Polk County Schools,8096.41,27.0,1031.37,72.0,3051.04,16.0,12178.82,16.0
2019.0,760.0,Randolph County Schools,6740.1,70.0,956.82,82.0,1660.75,91.0,9357.67,98.0
2019.0,761.0,Asheboro City Schools,6727.17,72.0,1242.15,42.0,2197.1,52.0,10166.42,63.0
2019.0,770.0,Richmond County Schools,7164.94,47.0,1568.06,18.0,1356.85,108.0,10089.85,68.0
2019.0,780.0,Robeson County Schools,7497.9,36.0,1672.39,11.0,1243.66,111.0,10413.95,55.0
2019.0,790.0,Rockingham County Schools,6731.5,71.0,1118.35,57.0,1448.61,105.0,9298.46,103.0
2019.0,800.0,Rowan-Salisbury County Schools,6579.4,78.0,1154.73,53.0,2292.5,46.0,10026.63,70.0
2019.0,810.0,Rutherford County Schools,7275.84,43.0,1357.72,30.0,1918.44,75.0,10552.0,50.0
2019.0,820.0,Sampson County Schools,7218.5,45.0,1358.79,29.0,1260.05,110.0,9837.34,79.0
2019.0,821.0,Clinton City Schools,6719.33,73.0,1348.5,31.0,2163.49,54.0,10231.32,58.0
2019.0,830.0,Scotland County Schools,7686.43,34.0,1472.17,21.0,2606.9,26.0,11765.5,22.0
2019.0,840.0,Stanly County Schools,6718.15,74.0,856.58,93.0,1546.47,100.0,9121.2,107.0
2019.0,850.0,Stokes County Schools,7106.81,50.0,1074.36,66.0,2348.03,43.0,10529.2,51.0
2019.0,860.0,Surry County Schools,6981.13,54.0,1204.57,48.0,1782.06,82.0,9967.76,73.0
2019.0,861.0,Elkin City Schools,7380.09,41.0,786.91,100.0,2263.96,48.0,10430.96,54.0
2019.0,862.0,Mount Airy City Schools,7162.28,48.0,1374.28,28.0,2385.11,38.0,10921.67,40.0
2019.0,870.0,Swain County Schools,8122.96,25.0,1561.86,19.0,2051.76,64.0,11736.58,24.0
2019.0,880.0,Transylvania County Schools,6897.65,60.0,1050.72,69.0,3622.57,8.0,11570.94,28.0
2019.0,890.0,Tyrrell County Schools,11832.89,2.0,1709.5,10.0,1551.16,99.0,15093.55,4.0
2019.0,900.0,Union County Schools,5864.67,115.0,760.41,102.0,2591.83,27.0,9216.91,105.0
2019.0,910.0,Vance County Schools,8184.31,24.0,1405.75,25.0,1650.56,94.0,11240.62,32.0
2019.0,920.0,Wake County Schools,6000.58,112.0,585.51,114.0,2827.1,20.0,9413.19,96.0
2019.0,930.0,Warren County Schools,9233.41,9.0,1595.2,16.0,3123.29,14.0,13951.9,9.0
2019.0,940.0,Washington County Schools,10510.92,5.0,2128.62,2.0,1723.95,86.0,14363.49,8.0
2019.0,950.0,Watauga County Schools,6753.53,69.0,749.17,103.0,3232.67,12.0,10735.37,44.0
2019.0,960.0,Wayne County Schools,6956.55,57.0,1280.86,36.0,1501.16,103.0,9738.57,85.0
2019.0,970.0,Wilkes County Schools,6847.35,64.0,1096.91,60.0,1816.03,80.0,9760.29,83.0
2019.0,980.0,Wilson County Schools,6426.55,90.0,1286.37,34.0,1870.58,77.0,9583.5,89.0
2019.0,990.0,Yadkin County Schools,7228.8,44.0,1020.69,74.0,1690.12,89.0,9939.61,74.0
2019.0,995.0,Yancey County Schools,8116.72,26.0,1211.69,47.0,1806.69,81.0,11135.1,37.0
